Gene_ID,Sample_con-1,Sample_con-2,Sample_con-3,Sample_trt-1,Sample_trt-2,Sample_trt-3
pg_10000312,0,0,0,0,0,0
pg_10000314,83,71,97,232,306,288
pg_10000315,417,458,512,636,519,693
pg_10000316,51,60,67,127,197,118
pg_10000317,26,10,16,28,20,9
pg_10000318,153,94,117,92,131,156
pg_10000319,224,311,312,244,273,215
pg_1000032,0,0,0,0,3,0
pg_10000324,712,532,774,495,573,603
pg_10000325,189,103,206,538,424,297
pg_10000326,155,148,206,300,268,216
pg_10000327,330,278,350,267,196,391
pg_10000328,96,90,63,105,76,220
pg_10000329,109,85,122,75,120,123
pg_1000033,8,5,6,20,11,13
pg_10000330,190,230,227,510,524,443
pg_10000333,18,25,28,80,118,102
pg_10000334,683,534,670,128,94,136
pg_10000335,138,78,91,87,86,133
pg_10000336,123,154,157,174,165,110
pg_10000337,1,0,0,5,8,12
pg_10000338,0,0,0,0,1,1
pg_10000339,10,3,17,103,88,223
pg_1000034,10,3,1,6,6,6
pg_10000341,0,0,0,0,0,0
pg_10000342,168,137,209,229,231,182
pg_10000343,13,18,13,41,48,27
pg_10000345,432,347,357,94,72,114
pg_10000346,4,4,4,10,7,17
pg_10000347,279,282,365,547,454,520
pg_10000349,722,540,901,1413,1256,1009
pg_1000035,675,618,882,1169,1022,1044
pg_10000350,0,0,0,0,0,0
pg_10000355,0,0,0,0,0,0
pg_10000356,85,76,88,134,127,148
pg_10000357,42,15,29,69,54,59
pg_10000358,56,27,41,43,75,51
pg_10000359,4,0,1,7,2,7
pg_1000036,98,75,118,155,167,153
pg_10000360,654,663,650,168,187,305
pg_10000361,0,0,0,0,0,0
pg_10000362,0,0,0,1,0,0
pg_10000363,4,4,4,17,15,30
pg_10000367,0,0,0,0,0,0
pg_10000368,6,3,1,8,2,3
pg_10000369,0,0,0,4,0,0
pg_1000037,278,271,319,1585,1504,2189
pg_10000372,0,0,0,0,0,0
pg_10000373,22,25,31,37,36,45
pg_10000374,0,0,0,0,79,10
pg_10000375,0,2,4,3,2,10
pg_10000376,15,18,8,75,53,58
pg_10000377,0,0,0,0,0,0
pg_10000378,0,0,0,0,0,0
pg_10000379,1,0,0,0,0,0
pg_1000038,21,29,21,47,22,31
pg_10000380,111,85,105,211,254,227
pg_10000381,3,3,5,39,65,36
pg_10000382,50,56,54,61,72,65
pg_10000383,244,219,293,147,227,183
pg_10000384,11,14,7,368,454,385
pg_10000385,0,0,0,0,0,0
pg_10000386,3,3,1,4,0,3
pg_10000387,0,0,0,1,0,0
pg_10000388,0,2,0,0,1,0
pg_10000389,153,143,177,1020,1103,883
pg_1000039,77,62,107,759,676,683
pg_10000390,70,70,54,64,53,111
pg_10000391,24,23,12,31,44,75
pg_10000396,0,0,0,0,0,0
pg_10000397,120,149,191,1180,1362,1003
pg_10000398,32,29,37,69,81,53
pg_10000399,41,60,60,76,69,105
pg_1000040,57,49,37,130,142,168
pg_10000400,0,0,0,8,12,6
pg_10000401,635,591,729,1596,1565,1572
pg_10000402,4,2,4,2,2,1
pg_10000403,1384,1222,2011,1954,2005,1338
pg_10000404,2,0,0,7,8,14
pg_10000405,89,51,90,75,76,72
pg_10000408,274,240,290,293,262,309
pg_1000041,163,160,136,92,79,119
pg_10000410,49,46,49,47,65,73
pg_10000411,131,125,136,615,729,828
pg_10000413,7,5,5,9,4,9
pg_10000414,7,12,13,14,29,26
pg_10000416,0,0,0,0,0,0
pg_10000417,12,7,8,35,21,46
pg_10000418,7,12,2,20,18,24
pg_10000419,5329,4895,4379,8,5,22
pg_10000420,51,92,70,98,87,148
pg_10000421,148,86,134,132,135,90
pg_10000422,163,201,142,137,100,128
pg_10000425,1,7,0,3,4,0
pg_10000430,8,10,10,8,32,35
pg_10000431,77,71,70,55,31,72
pg_10000432,248,337,277,9,16,38
pg_10000433,0,0,0,0,0,0
pg_10000434,336,241,222,281,326,416
pg_10000435,61,52,39,71,64,64
pg_10000436,24,38,7,53,52,73
pg_10000437,303,282,340,727,725,998
pg_10000438,1,0,1,18,10,3
pg_10000439,11,11,21,21,25,28
pg_1000044,409,404,286,328,285,406
pg_10000442,66,62,63,79,87,81
